epoch,acc,f1_m,loss,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_precision_m,val_recall_m
0,0.09632463450883968,0.005601928849447651,2.9441024773367475,0.050425831648410545,0.0030058751195518514,0.08916776750822364,0.0,2.3672201217716875,0.0,0.0
1,0.2289930318268063,0.11302327360305846,2.04199706609009,0.6375994512268975,0.06380653095194055,0.2955746367435947,0.1382509873911758,1.823285589444905,0.6649210826251435,0.07793923382262258
2,0.32162863781240764,0.22791385227359534,1.7266325090797665,0.7406212583495744,0.1364940565610326,0.3645970938109659,0.23208419386115384,1.6426958387405113,0.7311747189872017,0.13903566711684356
3,0.3627544746142884,0.25187621942299737,1.619082469157727,0.745727248751477,0.15316300040582015,0.3936591809972274,0.22421526739587871,1.6056722841930515,0.6944260042126301,0.13474240423705494
4,0.37190873068462776,0.2627894950867481,1.5704953096036394,0.7525028946833265,0.16081431890620382,0.3943196829787334,0.22436026157995825,1.5576178537807188,0.6471451919333938,0.1367239102110995
5,0.3870747369696394,0.28252560311139713,1.5257808209149657,0.7703788773758454,0.17475064900594423,0.41479524440541765,0.2349207628040994,1.5202568692291742,0.6809818574191715,0.1429986790009581
6,0.40429020356343637,0.2967101802003727,1.4769003066978814,0.7853125927389312,0.18472468917536627,0.4270145310435931,0.2595427020734651,1.4733819698563024,0.729029947259467,0.15885072659154864
7,0.42123240875422524,0.32604263390017785,1.4352860257410258,0.8016252982875398,0.20644896844849103,0.44154557455798593,0.31220908311430656,1.4241373998800704,0.8178214920559207,0.19418758258243218
8,0.447328870084576,0.3533572258682488,1.3909188847770488,0.8126680048408852,0.22789998634711106,0.4613606340031643,0.35455073611109544,1.3787358835477337,0.7989154969842778,0.2295244385930002
9,0.4772509905561949,0.38576543472441577,1.333432620398121,0.8195277071907996,0.2545429703613206,0.48678996029114313,0.3796398347561079,1.3268497613808596,0.7977069656474115,0.25165125497344937
10,0.5049870201009987,0.41765413705011684,1.2802801196538354,0.80165684604306,0.28501161358602095,0.5128797886393659,0.42141923430416356,1.2816796929549668,0.7603557264159189,0.2935931308581303
11,0.5243885776256828,0.4421485673535927,1.2286753565223674,0.8031573016341551,0.3072824156081551,0.5317040951910234,0.4317640063784711,1.24233650767504,0.7708733259765443,0.3015191545574637
