epoch,acc,f1_m,loss,precision_m,recall_m,val_acc,val_f1_m,val_loss,val_precision_m,val_recall_m
0,0.22065855992273614,0.026270115533508977,2.6382965387127277,0.25438811626244084,0.014072960786992758,0.44649933953738746,0.17546824258573776,1.7733218471471668,0.9003192914681831,0.09775429327272203
1,0.5099057248135801,0.3151192238099068,1.5057566862220988,0.9053117235203001,0.19715808170769591,0.583553500503026,0.4930441879533241,1.2029033091455659,0.8539423581158627,0.34808454429300173
2,0.5920207678522467,0.5058473663193099,1.1901870475047955,0.8695645334779573,0.36002186090588845,0.5994055483741206,0.5805587304000653,1.1282699168752017,0.8373594708455286,0.4461690885072655
3,0.6231725645091368,0.5719973023821543,1.0853032471785407,0.8531153251897086,0.43311927858182747,0.6522457065796443,0.6258853423548185,0.9992599630607797,0.8334352237072772,0.5033025098287918
4,0.6416177073533555,0.6038221801413687,1.0180173493552231,0.8357174484142434,0.47492826887697676,0.6756935270018433,0.6330175949371317,0.9827654215272226,0.8230535280121837,0.5155217964079137
5,0.6649815548002141,0.6333087786313435,0.9657024543847945,0.8363951721760171,0.5111354010273548,0.6974900923128015,0.6697228048562689,0.894091476222483,0.8355226574202352,0.5614266842800528
6,0.6697636289517725,0.64566584701241,0.9299537652925579,0.8302453397352654,0.5301270664943537,0.7136723910959111,0.6873951717286003,0.8552876682546053,0.8351098091945623,0.5858652577532487
7,0.6877988796365083,0.6659243894512658,0.8805678991415344,0.835960067121493,0.5547205901631307,0.7130118890356671,0.6979479085816417,0.8419545716464598,0.8288293903696017,0.6043593129204633
8,0.7011886868976572,0.6840719587491142,0.8530756553709059,0.8344258022350698,0.5815002049012399,0.7093791281373845,0.6998443218486942,0.8912143870262993,0.8230281688735539,0.6103038307540168
9,0.7162180625849985,0.6952106931330418,0.824549635563543,0.8356539832876263,0.5968028418694319,0.714002642086664,0.7067240152995211,0.8297296923879273,0.8306681778345901,0.6169088508052901
10,0.7305642846487702,0.719268797720565,0.7759923822796073,0.8458543704383148,0.6272714851185637,0.7397622192866579,0.7316251508153414,0.773976807628944,0.8248872699479288,0.6585204754039508
0,0.18267522886149104,0.021105819638431163,2.7664742944083884,0.2535865503283273,0.011203716354693263,0.42404227220555435,0.12724237535714789,1.8796362228091201,0.8964584473732126,0.06902245707229232
