rerun,val_loss,val_acc,val_recall_m,val_precision_m,val_f1_m,loss,acc,recall_m,precision_m,f1_m,epoch
0,0.6952756044886701,0.7992073977796688,0.7866578600523179,0.8291173968636375,0.8068680682931898,0.3344147594505393,0.8767591201309494,0.8546249488286428,0.903644605166014,0.878236895214096,122.0
1,0.6862490844852543,0.8137384412153237,0.7949141347424042,0.8388636879908361,0.8157523973614883,0.29152347302808185,0.8898756660746003,0.8722503074190463,0.9131670035956286,0.892098269024122,127.0
2,0.6829152258415676,0.8157199471598415,0.8074636724303862,0.8386501449023717,0.8222945076628752,0.2741662086227998,0.8960240470009564,0.879764995217926,0.9135250102498034,0.896209184646867,134.0
